time	V(p2)	V(c5_ic)	V(reset)	V(vosc)	V(p1)	V(vout)	V(sam)
Step Information: Cin=1µ  (Run: 1/3)
3.250018366386201e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227503e+00	0.000000e+00	-7.648671e+00	5.000000e+00
3.250027002655827e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227497e+00	0.000000e+00	-7.648688e+00	5.000000e+00
3.250044275195080e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227485e+00	0.000000e+00	-7.648743e+00	5.000000e+00
3.250078820273586e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227460e+00	0.000000e+00	-7.648921e+00	5.000000e+00
3.250147910430599e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.227411e+00	0.000000e+00	-7.649473e+00	5.000000e+00
3.250286090744623e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.227312e+00	0.000000e+00	-7.650996e+00	5.000000e+00
3.250562451372671e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.227115e+00	0.000000e+00	-7.654626e+00	5.000000e+00
3.251115172628769e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.226720e+00	0.000000e+00	-7.662118e+00	5.000000e+00
3.252220615140964e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.225930e+00	0.000000e+00	-7.675931e+00	5.000000e+00
3.254431500165353e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.224345e+00	0.000000e+00	-7.698816e+00	5.000000e+00
3.258853270214132e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.221160e+00	0.000000e+00	-7.731093e+00	5.000000e+00
3.267696810311691e-04	5.000000e+00	-7.799178e+00	0.000000e+00	7.214731e+00	0.000000e+00	-7.766799e+00	5.000000e+00
3.282322919804884e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.204008e+00	0.000000e+00	-7.795342e+00	5.000000e+00
3.282952919804894e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.203541e+00	0.000000e+00	-7.795572e+00	5.000000e+00
3.283592919804904e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.203066e+00	0.000000e+00	-7.795786e+00	5.000000e+00
3.284872919804924e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.202114e+00	0.000000e+00	-7.796168e+00	5.000000e+00
3.287432919804964e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.200205e+00	0.000000e+00	-7.796784e+00	5.000000e+00
3.292582919805045e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.196356e+00	0.000000e+00	-7.797772e+00	5.000000e+00
3.293822919805065e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.195425e+00	0.000000e+00	-7.797925e+00	5.000000e+00
3.295102919805085e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.194461e+00	0.000000e+00	-7.798060e+00	5.000000e+00
